scenario,K,rep,n_min,rmse_oracle,rmse_vaneb,rmse_npeb,rmse_adamix,vaneb_time,npeb_time
quadratic,100,0,40,0.1514869879113728,0.3361227324249206,0.33564981451713455,0.3470929716317996,0.6466333866119385,0.1796882152557373
quadratic,100,1,40,0.2565982930785195,0.3576627349623005,0.35804071739265864,0.37811878350166883,0.6361584663391113,0.1925342082977295
quadratic,100,2,40,0.11867326833401008,0.35252301243073003,0.3537613697533603,0.3716993271085401,0.6316177845001221,0.18493366241455078
quadratic,100,3,40,0.13696852123429348,0.29924984090770423,0.30181096382615663,0.31476636723823487,0.6308152675628662,0.18404889106750488
quadratic,100,4,40,0.10324477088565191,0.32443790933970884,0.3220467122035004,0.3221497750533152,0.6308526992797852,0.1847093105316162
quadratic,100,5,40,0.12557697090221112,0.38692664764130946,0.388553690186177,0.3769386150504089,0.623917818069458,0.1769866943359375
quadratic,100,6,40,0.1140355423237761,0.39700663524510393,0.3975561004732697,0.3758107340702599,0.6300070285797119,0.18508386611938477
quadratic,100,7,40,0.21151389018715794,0.3166268684950515,0.32091417200795114,0.3375778741936213,0.624884843826294,0.17774391174316406
quadratic,100,8,40,0.12304180010078605,0.3002657393967088,0.3055086028686665,0.3006675505264907,0.6243696212768555,0.17983055114746094
quadratic,100,9,40,0.09552038437704166,0.3453753742289632,0.3472029559172731,0.3568184964557326,0.6292934417724609,0.18312573432922363
